Reference bit,dirty bit,age,access count,replace
0,0,7,9682,1
0,0,17,9681,1
0,0,7,9680,1
0,0,13,9679,1
0,0,19,9678,0
0,0,20,9677,1
0,1,17,9676,1
0,0,20,9675,0
0,0,20,9674,1
0,0,11,9673,1
0,0,13,9672,1
0,0,13,9671,1
0,0,18,9670,1
0,0,5,9669,1
0,0,3,9668,0
0,0,12,9667,1
0,0,1,9666,0
0,0,5,9665,0
0,0,8,9664,1
0,0,4,9663,1
1,1,3,113,1
0,0,18,9661,0
0,0,14,9660,1
0,0,7,9659,1
0,0,7,9658,0
0,0,4,9657,0
0,0,12,9656,1
0,0,18,9655,1
0,0,4,9654,0
0,0,14,9653,1
0,0,15,9652,0
0,0,1,9651,1
0,0,1,9650,1
0,0,19,9649,1
0,0,14,9648,0
1,0,12,5469,0
0,0,1,9646,1
0,0,8,9645,1
0,0,5,9644,0
0,0,16,9643,1
0,0,11,9642,1
0,0,10,9641,1
0,0,10,9640,1
0,0,14,9639,1
0,0,16,9638,0
0,0,8,9637,1
0,0,13,9636,1
0,0,2,9635,1
0,0,19,9634,0
0,0,20,9633,1
0,0,18,9632,1
0,0,17,9631,1
0,0,1,9630,1
0,1,3,9629,1
1,1,4,1519,1
0,0,5,9627,1
0,0,19,480,0
0,0,2,9625,1
0,0,20,9624,1
1,1,9,342,1
0,0,13,9622,1
0,0,2,3279,1
0,0,18,9620,0
0,0,9,9619,0
0,1,3,9618,1
0,0,14,9617,1
0,0,9,9616,1
0,0,14,9615,1
0,0,4,9614,1
0,0,14,9613,1
0,0,7,9612,0
0,0,4,9611,0
0,0,12,9610,0
0,0,19,9609,1
0,1,18,9608,0
0,0,19,9607,0
0,1,6,9606,1
0,0,13,9605,0
0,0,17,9604,1
0,0,11,9603,0
0,0,5,9602,0
0,0,15,9601,1
1,0,6,1561,1
0,0,14,9599,0
1,1,7,6228,1
0,0,14,9597,1
0,0,3,9596,1
0,0,18,9595,1
1,0,6,4885,0
0,0,14,9593,1
0,1,7,9592,0
0,0,5,9591,0
0,0,14,8626,1
0,1,20,9589,1
0,0,13,9588,0
0,0,11,9587,1
0,1,9,9586,0
0,0,4,9585,1
0,0,19,9584,1
0,0,16,2769,1
0,0,2,9582,1
0,0,15,9581,0
0,0,16,9580,1
0,0,1,9579,1
0,0,15,9578,1
0,0,16,9577,1
0,0,5,9576,1
0,1,11,9575,0
0,1,19,9574,1
0,0,1,9573,0
1,0,20,2462,1
0,0,11,9571,1
0,0,5,9570,0
0,0,15,9569,1
0,0,18,9568,1
0,0,1,4125,1
0,0,4,9566,1
0,0,10,9565,0
0,0,12,9564,1
0,0,12,9563,0
0,0,15,9562,1
1,0,15,6963,1
0,0,14,9560,0
0,0,14,9559,1
0,1,4,9558,1
0,0,5,9557,1
0,0,19,9556,1
0,0,2,3678,1
0,0,8,9554,0
0,0,8,9553,0
0,0,15,9552,1
0,0,13,6185,0
0,0,11,9550,1
1,0,9,9312,0
0,0,14,9548,1
0,0,19,9547,1
0,0,2,9546,1
0,0,1,9545,1
0,0,19,7425,1
1,1,16,1202,0
0,1,10,9542,1
0,0,9,9541,1
1,0,19,5411,1
0,0,10,9539,0
0,1,3,9538,1
0,0,4,9537,1
0,0,4,9536,0
0,1,18,9535,1
0,0,16,9534,1
0,0,5,9533,0
0,0,16,9532,1
0,0,16,9531,0
0,0,18,2693,0
0,0,12,9529,1
1,0,2,950,1
0,0,8,9527,1
0,0,12,9526,1
0,0,1,9525,0
0,0,14,9524,1
0,0,19,9523,1
0,0,16,9522,1
0,0,2,9521,1
0,1,11,9520,1
0,0,20,9519,1
0,1,6,380,0
0,0,3,9517,0
0,0,3,9516,1
1,0,1,2124,1
0,0,10,9514,1
0,0,5,9513,1
1,0,9,9512,0
1,0,4,3998,1
0,0,12,9510,0
1,0,18,607,0
0,0,6,9508,0
0,0,14,9507,1
0,0,15,9506,1
0,0,3,9505,1
0,0,16,9504,1
0,1,16,9503,1
0,0,15,9502,0
0,0,16,9501,1
0,0,18,9500,1
0,0,10,9499,1
0,0,8,9498,1
1,1,17,6228,0
0,0,11,9496,1
0,0,2,6947,1
1,0,12,7942,1
0,1,19,9493,0
0,0,4,9492,1
0,0,20,4446,1
0,0,2,9490,1
0,0,14,9489,1
0,0,18,9488,1
0,1,18,9487,0
0,0,6,9486,1
0,0,3,9485,1
0,0,10,9484,1
0,0,9,9483,1
0,0,18,9482,1
0,0,14,9481,0
0,0,18,9480,1
0,0,19,9479,1
0,0,2,9478,1
1,0,12,4589,1
0,0,15,9476,1
0,0,1,9475,0
0,0,12,9474,1
0,0,6,9473,1
1,1,17,380,0
1,0,15,1190,1
0,0,14,9470,1
0,0,10,9469,1
0,0,5,9468,0
0,0,15,9467,0
0,0,20,9466,1
0,0,4,9465,1
0,1,17,9464,1
0,0,3,9463,0
1,0,10,5243,1
0,0,18,6011,0
0,0,3,9460,0
0,0,18,9459,1
0,0,15,9458,1
0,0,6,9457,1
0,0,19,9456,1
0,0,14,9455,1
0,0,7,9454,1
0,0,18,9453,1
0,0,10,9452,1
0,0,10,9451,1
0,0,15,9450,1
0,1,12,9449,1
0,1,4,9448,1
0,0,17,9447,0
0,0,13,9446,1
0,0,12,9445,1
1,1,16,123,1
0,0,20,9443,1
0,0,15,9442,1
0,0,15,9441,1
0,0,3,9440,1
0,1,16,9439,1
0,1,10,9438,1
0,0,16,9437,0
0,0,19,9436,1
0,0,9,9435,1
0,0,11,9434,1
0,1,19,9433,0
0,0,8,9432,1
0,0,13,9431,1
1,0,4,5498,0
0,0,9,9429,1
0,1,4,9428,1
0,0,18,9427,1
0,0,15,9426,1
0,0,7,9425,1
0,0,2,9424,1
0,0,19,9423,1
0,0,8,9422,1
0,0,12,9421,1
0,1,3,9420,1
0,0,18,9419,0
0,0,9,9418,1
0,0,6,9417,1
0,0,18,9416,0
0,0,9,9415,0
0,1,9,9414,1
0,0,8,9413,1
0,0,11,9412,1
0,0,9,9411,0
0,0,19,9410,1
0,0,15,9409,0
0,0,4,9408,0
0,0,5,9407,1
0,0,8,9406,1
0,0,18,9405,1
0,0,13,9404,1
0,0,15,9403,1
0,1,16,1202,1
0,0,19,9401,0
0,0,13,7180,1
0,0,11,7624,0
0,0,15,9398,0
0,0,1,9397,1
0,0,4,9396,0
0,0,10,9395,1
0,0,4,1504,1
0,1,14,9393,1
0,1,7,9392,1
0,0,2,9391,1
0,0,1,9390,0
0,0,14,9389,1
0,0,1,9388,0
0,0,13,8009,0
0,1,14,9386,1
0,0,4,9385,1
0,0,1,9384,1
0,0,9,9383,1
0,0,7,9382,1
0,0,15,9381,0
0,0,4,9380,1
0,0,1,9379,1
0,0,14,3338,0
0,0,16,9377,0
0,0,11,9376,0
1,0,19,8366,1
0,0,7,9374,0
0,0,19,9373,1
0,0,20,9372,0
0,0,1,9371,0
0,0,20,9370,0
0,0,17,9369,1
0,0,19,9368,1
1,1,15,377,1
0,0,6,9366,1
0,0,20,9365,0
0,0,3,9364,1
0,0,3,9363,1
0,0,3,9362,1
0,0,20,9361,1
0,0,13,9360,1
0,0,6,3348,0
0,0,5,9358,1
0,0,15,9357,1
0,0,20,9356,0
0,0,13,4866,0
0,1,13,9354,1
0,0,2,9353,1
0,0,10,9352,1
0,0,13,9351,1
0,0,18,9350,0
1,0,17,9106,0
0,0,16,9348,0
0,0,2,9347,0
0,0,15,9346,0
0,0,16,9345,1
0,0,16,9344,1
1,0,7,680,1
0,0,13,9342,0
1,1,8,1763,0
0,0,11,1743,1
0,0,5,7209,0
0,0,3,9338,1
0,0,12,9337,0
0,0,12,9336,1
0,0,19,9335,1
0,0,9,395,0
0,1,2,9333,0
0,0,10,9332,1
0,0,10,3446,1
0,0,8,9330,1
0,0,20,9329,1
0,0,19,9328,1
0,1,7,9327,0
0,0,9,9326,1
0,0,4,9325,1
0,0,17,9324,1
0,0,7,9323,1
0,0,1,9322,0
0,0,20,9321,1
0,1,19,9320,1
0,0,3,9319,0
0,1,13,1261,0
0,0,9,9317,1
0,0,8,9316,1
0,0,16,9315,1
0,0,11,9314,1
0,0,5,9313,1
0,0,10,9312,1
0,1,7,9311,1
0,0,7,9310,1
0,0,15,9309,1
0,0,14,9308,1
0,0,5,9307,1
0,0,18,9306,1
0,1,4,9305,0
0,0,15,9304,1
0,0,19,9303,1
0,0,1,9302,1
0,0,4,9301,0
0,0,9,9138,1
0,0,18,9299,1
0,0,3,9298,1
0,0,14,9297,1
0,0,8,9296,0
0,1,19,9295,1
0,0,9,9294,1
0,0,20,9293,0
0,0,4,9292,1
0,0,5,9291,1
0,0,3,9290,1
0,0,3,9289,1
1,0,4,1441,1
0,0,14,9287,1
1,0,15,9286,1
0,0,2,9285,1
0,0,19,9284,0
0,0,13,9283,0
0,0,18,9282,0
0,0,19,9281,1
0,0,9,9280,1
0,0,10,9279,0
0,0,8,9278,0
0,0,7,9277,1
0,0,10,3001,1
0,0,20,9275,0
0,0,19,9274,1
0,0,3,9273,0
0,0,20,9272,0
0,0,15,9271,1
0,0,8,9270,1
0,1,9,9269,1
0,0,20,9268,1
0,0,10,9267,1
0,0,17,9266,1
0,0,4,9265,1
0,0,18,9264,1
0,0,16,9263,1
0,0,20,9262,0
0,1,9,9261,1
0,0,20,9260,1
0,0,8,9259,1
0,0,1,764,0
0,0,12,7300,0
0,1,14,9256,1
0,0,9,9255,1
0,0,13,9254,0
0,0,12,9253,1
0,0,15,9252,1
0,0,2,9251,1
0,0,17,9250,0
0,1,7,9249,1
0,0,18,9248,0
0,0,17,9247,0
0,0,6,9246,1
0,1,12,9245,1
0,1,9,9244,1
0,0,5,9243,0
0,0,5,9242,1
0,0,8,9241,0
0,0,9,9240,0
0,0,10,9239,1
0,0,6,9238,1
0,0,1,9237,0
0,0,19,9236,1
0,0,17,1013,0
0,0,17,9234,0
1,0,7,4386,0
0,0,2,9232,1
0,0,9,9231,0
0,0,12,9230,1
0,0,20,9229,1
0,0,14,9228,1
0,0,14,9227,1
0,0,3,9226,1
0,0,11,9225,1
0,0,11,9224,0
0,0,5,9223,1
0,0,18,9222,0
0,0,8,9221,0
0,1,7,9220,1
0,1,3,9219,1
0,1,18,9218,1
0,0,12,9217,1
0,0,17,9216,1
0,0,18,9215,0
0,0,6,9214,1
0,0,14,9213,1
0,0,10,9212,1
0,0,1,9211,1
0,0,3,9210,1
0,0,9,9209,1
0,0,20,9208,1
0,0,6,9207,0
0,0,18,9206,1
1,0,11,6594,1
0,0,15,9204,0
0,0,2,9203,1
0,0,1,9202,0
1,0,10,5893,0
0,0,7,5001,1
0,0,17,9199,1
1,1,5,1763,0
0,0,4,9197,1
0,0,13,9196,1
0,0,2,9195,1
0,0,11,9194,1
0,0,12,9193,1
0,1,4,9192,1
0,0,17,9191,1
0,0,20,3448,0
0,0,5,9189,0
0,0,1,9188,1
0,0,14,9187,1
0,0,1,9186,1
0,0,6,9185,1
0,0,15,3306,1
0,0,9,9183,0
0,0,6,9182,0
0,0,10,9181,1
0,0,11,9180,0
0,0,18,5699,1
0,0,9,9178,0
0,0,7,9177,0
0,0,11,9176,1
0,0,7,9175,1
0,0,2,9174,1
0,0,5,9173,1
0,0,3,9172,1
0,0,10,9171,0
0,0,11,9170,1
0,0,13,9169,1
0,0,10,9168,0
0,0,5,9167,1
0,0,1,9166,1
0,0,4,9165,0
0,0,18,9164,1
0,0,11,9163,0
0,0,20,9162,0
0,0,18,9161,1
0,0,16,9160,1
0,0,14,9159,1
0,0,2,9158,0
0,0,20,9157,1
0,0,15,9156,0
0,0,19,9155,1
0,0,2,9154,0
0,0,19,9153,1
0,0,9,9152,1
0,0,6,9151,1
0,0,13,9150,1
0,0,16,9149,0
0,0,5,9148,1
0,0,16,9147,1
0,0,19,9146,1
0,0,8,9145,1
1,0,10,2657,0
1,0,20,5464,1
0,0,16,9142,1
0,0,3,9141,0
0,1,7,200,1
0,0,1,9139,1
1,0,18,9138,1
0,0,8,9137,1
0,0,4,9136,1
0,0,15,9135,1
0,0,8,9134,0
0,0,1,9133,1
0,0,4,9132,1
0,0,9,9131,1
0,0,1,9130,1
0,0,10,9129,1
1,0,6,1833,0
0,0,9,9127,1
0,0,20,9126,1
0,0,18,9125,1
0,1,14,9124,0
0,0,20,9123,0
0,0,4,9122,1
0,0,7,9121,1
0,0,6,9120,1
0,0,10,9119,1
0,0,16,9118,1
0,0,7,7618,1
0,0,16,8917,1
0,0,20,9115,1
0,0,17,9114,1
0,1,9,9113,0
0,0,6,5640,1
0,0,8,5251,1
0,0,1,9110,1
1,1,9,44,0
0,0,19,9108,0
0,0,9,9107,1
0,0,13,9106,1
0,0,11,9105,0
0,0,1,9104,0
0,0,4,9103,1
0,0,14,2755,0
1,0,8,9101,1
0,0,9,9100,1
0,0,6,9099,1
0,0,5,9098,1
1,0,1,4193,1
0,0,13,9096,0
0,0,12,9095,0
0,0,7,9094,1
0,0,15,9093,1
0,0,17,9092,0
1,0,6,8605,1
0,0,10,9090,1
0,0,1,9089,1
0,0,6,9088,1
0,0,10,9087,1
0,0,8,9086,0
0,0,15,9085,0
0,0,11,9084,1
1,0,15,7702,1
0,0,12,9082,0
0,0,12,9081,0
1,1,4,3359,1
0,0,15,9079,1
0,0,6,9078,1
0,0,1,9077,1
0,0,14,9076,1
0,0,6,9075,1
0,0,18,9074,0
0,0,4,9073,1
0,0,11,9072,1
0,0,7,9071,0
0,1,14,9070,1
0,0,18,9069,1
0,0,18,9068,1
0,0,7,9067,1
0,0,3,2318,1
0,0,13,9065,1
0,0,12,9064,1
0,0,11,9063,1
0,0,11,9062,1
0,0,4,9061,1
0,0,1,9060,0
0,0,2,9059,1
0,0,8,9058,1
0,0,1,9057,0
0,0,3,5961,1
0,0,20,9055,1
0,0,13,9054,0
0,0,1,8396,1
0,0,13,9052,0
0,0,20,9051,1
0,0,1,9050,1
0,0,11,9049,1
1,0,17,1334,0
0,0,8,6319,1
0,0,19,9046,1
0,0,15,9045,1
0,0,11,9044,1
0,0,3,9043,0
0,0,2,9042,0
1,0,6,5676,1
1,0,7,6992,1
0,0,11,9039,1
0,0,2,9038,0
0,0,20,9037,1
0,0,9,9036,1
0,1,20,9035,0
0,0,20,9034,0
0,0,7,9033,1
0,1,11,9032,1
0,0,15,9031,1
0,0,17,9030,1
0,1,19,9029,0
0,0,20,9028,0
0,0,14,9027,0
0,0,9,9026,1
0,0,12,9025,1
1,0,13,5788,1
0,0,11,9023,1
0,0,7,9022,1
0,0,18,9021,1
0,0,14,9020,1
0,0,11,9019,1
0,0,17,9018,1
0,0,18,9017,1
0,1,19,9016,0
1,1,10,334,0
0,0,10,9014,1
0,0,4,9013,1
0,0,2,9012,1
0,0,5,9011,1
0,0,10,9010,1
0,0,8,9009,0
0,0,2,9008,1
0,1,19,1621,1
0,0,3,9006,1
0,0,8,9005,1
0,1,3,1816,1
0,0,12,9003,1
0,0,15,9002,1
0,0,8,9001,0
0,0,5,9000,1
0,0,2,8999,1
0,0,2,8998,1
0,0,18,8997,0
0,0,4,8996,1
0,0,6,8995,1
0,0,7,8994,0
1,1,20,932,0
0,1,20,8992,0
0,0,9,8991,0
0,0,8,8990,1
0,0,10,1509,1
0,0,14,8988,0
0,0,8,8987,1
0,0,18,8986,1
0,0,17,8985,1
0,1,19,8984,0
0,0,2,920,0
0,0,8,8982,0
0,0,6,8981,1
1,0,11,7510,1
0,0,2,8979,1
0,0,10,8978,1
0,0,20,8977,0
1,0,2,7902,1
0,0,5,8975,1
0,0,7,8974,1
0,0,1,8973,1
0,1,3,8972,0
0,0,9,8971,1
0,0,10,8970,1
0,0,14,8969,1
0,0,14,8968,1
0,0,17,8967,1
0,0,5,8966,1
0,1,5,8965,0
0,0,14,8964,1
0,0,15,8963,1
0,0,10,8962,1
0,0,17,8961,1
0,0,9,8960,1
0,0,15,8959,0
0,0,11,8958,0
0,0,3,8957,1
0,1,17,8956,1
0,0,19,8955,1
0,0,8,8954,0
0,0,7,8953,0
0,0,4,8952,1
0,0,18,8951,0
0,0,9,8950,0
0,0,17,8949,0
0,0,5,8948,0
0,0,5,8947,0
0,0,13,8946,1
1,0,13,2440,1
0,0,5,7250,1
0,1,14,8943,1
0,0,7,8942,1
0,1,8,8941,1
0,0,6,8940,1
1,0,5,5510,1
0,0,18,8938,1
0,0,13,8937,0
0,0,15,8936,1
1,0,5,1888,1
0,0,1,8934,1
1,0,13,8933,1
0,0,14,8932,1
0,0,15,8931,1
0,0,1,8930,0
0,0,8,8929,0
0,0,16,8928,1
0,0,15,8927,1
0,0,7,8926,1
0,0,6,8925,1
0,0,11,942,1
0,0,6,8923,1
0,0,20,8922,1
0,0,1,8921,1
0,0,5,8920,1
0,0,11,8919,1
0,0,20,8918,0
1,0,4,8917,1
0,0,15,8916,1
0,0,5,8915,1
0,0,8,8914,1
0,0,10,8913,1
0,0,19,8912,1
0,0,10,8911,0
0,0,6,8910,0
0,0,14,8909,0
0,0,15,8908,1
0,0,14,8907,1
0,0,20,8906,1
0,0,19,8905,1
0,0,9,8904,0
0,0,6,8903,0
0,0,7,8902,1
0,1,2,8901,1
0,0,12,8900,1
0,0,14,8899,0
0,0,12,8898,0
0,0,7,8897,1
0,0,16,8896,1
0,0,5,8895,1
0,0,9,8894,1
0,0,14,8893,0
0,0,10,8892,0
0,1,18,8891,1
0,0,16,8890,1
0,0,5,8889,1
0,0,2,8888,1
0,1,7,8887,1
0,0,2,8886,0
0,0,11,8885,0
0,0,19,8884,0
0,0,7,8883,0
0,0,3,8882,1
0,0,20,8881,1
0,0,5,8880,1
0,0,20,8879,1
0,0,12,8878,0
0,0,6,8877,1
0,0,2,8876,1
0,0,17,8875,1
0,0,2,8874,1
0,0,1,8873,1
1,0,1,305,1
0,0,17,8871,0
0,0,2,8870,1
0,0,1,8869,1
0,0,10,8868,1
0,0,8,8867,1
0,0,2,8866,1
0,0,2,8865,1
0,1,9,8864,1
0,0,4,8863,1
0,0,6,8862,1
0,0,19,8861,1
0,1,18,8860,1
0,0,16,8859,1
0,0,20,8858,1
0,0,9,8857,0
0,0,1,8856,1
0,0,17,8855,0
0,0,4,8854,1
0,0,7,8853,1
0,0,20,8852,0
0,0,16,8851,1
1,1,15,380,1
0,0,3,8849,0
0,0,12,8848,0
0,0,7,7707,1
0,0,18,8846,1
0,0,6,8845,1
0,0,15,8475,1
0,0,15,8843,1
0,0,11,8842,1
0,1,5,8841,0
0,0,16,8840,1
0,0,14,8839,1
0,0,5,8838,0
0,0,16,8837,1
0,0,10,8836,1
0,0,13,8835,0
0,0,20,8834,1
0,1,4,8833,1
0,0,1,8832,0
0,0,16,8831,1
0,0,9,8830,0
0,0,14,8829,1
0,0,12,8828,1
0,1,15,8827,1
0,0,6,8826,0
0,0,17,8825,1
0,0,1,8824,0
0,0,4,8823,1
0,0,10,8822,0
0,1,11,8821,1
0,0,6,8820,0
0,0,12,8819,1
0,0,12,8818,1
0,0,3,8817,1
0,0,19,8816,0
0,0,16,8815,1
0,0,15,8814,1
0,0,20,8374,0
0,1,3,8812,1
0,0,6,8811,0
0,0,6,8810,0
0,0,10,8809,1
0,0,8,8808,1
0,1,9,8807,1
0,0,6,7939,1
0,0,16,8805,1
0,0,8,8804,1
0,0,5,8803,1
0,0,10,8802,1
0,0,15,8801,0
0,0,12,8800,1
0,0,11,8799,1
1,0,8,3203,1
0,0,13,8797,1
0,0,1,8796,1
0,0,16,8795,1
0,1,16,8794,1
0,0,5,8793,1
0,0,17,8792,0
0,0,18,8791,0
0,0,17,8790,0
0,0,15,8789,1
0,0,13,8788,1
0,0,6,8787,1
1,0,11,1600,1
0,0,6,8785,0
0,0,11,8784,1
0,0,1,8783,1
0,0,8,8782,1
1,0,15,276,0
0,0,10,8780,0
0,0,8,8779,1
0,0,15,8778,1
0,0,5,7342,0
1,0,1,8364,1
0,0,20,8775,1
0,0,2,5976,1
0,0,7,8773,1
0,0,13,8772,1
0,0,7,8771,1
0,0,10,8770,1
0,0,1,8769,1
0,0,4,8768,1
0,0,18,8767,1
0,0,5,8766,0
0,0,11,8765,1
0,0,17,7536,1
0,0,2,8763,0
0,0,13,8762,1
0,0,8,8761,1
0,0,18,8760,0
0,0,8,5401,1
0,0,10,8758,0
0,1,5,8757,0
0,1,9,8756,1
0,0,13,8755,1
0,1,9,8754,1
0,0,6,8753,1
0,1,19,8752,1
0,0,20,8751,1
0,0,18,8750,0
1,0,18,7629,1
0,0,10,8748,0
0,0,10,8747,1
0,0,15,8746,1
0,0,6,8745,0
0,0,6,4082,0
0,0,6,8743,0
0,0,14,8742,1
0,0,12,8741,1
0,0,14,8740,1
0,0,19,8739,1
0,0,15,8738,0
0,0,11,8737,0
0,0,18,8736,0
0,1,18,8735,1
0,0,11,8734,0
0,0,6,8733,0
0,0,18,8732,0
0,1,15,8731,0
0,0,20,8730,1
0,0,15,8729,1
